alt,v_stall,v_cruise,v_max
-1000.0,5.043099794248972,8.214570257043329,32.53637102966359
0.0,5.288266287817615,8.613915395600616,34.118102172062876
1000.0,5.55045986212291,9.04099549017505,35.80968626978767
2000.0,5.832659512298726,9.500662946196016,37.630342790016016
3000.0,6.138012443013813,9.998044161101504,39.60037643084758
4000.0,6.46596545814871,10.532238048540925,41.71621815836885
5000.0,6.820629673538558,11.10994109504844,44.00439149890594
6000.0,7.204046272234205,11.734478129055523,46.47806547385274
7000.0,7.620006717968664,12.412024964343884,49.16170132248581
8000.0,8.071812574953425,13.147959430478654,52.07659961837021
9000.0,8.563995420742776,13.949662892833052,55.251996564371524
10000.0,9.102141928091106,14.826235333108084,58.72393548006978
15000.0,13.261323936656735,21.601015570484094,85.55756847002445
20000.0,19.62935615473173,31.973732785825796,126.6419545478921
25000.0,29.235969733878868,47.62168848723041,188.62057018151023
30000.0,43.137449689825054,70.2654370613166,278.3082083725872
35000.0,55.298607090984945,90.07442081228508,356.7678751445003
40000.0,92.59096710001971,150.81894775869065,597.3655454918982
50000.0,182.6401008312766,297.49757118487247,1178.3320433829617
60000.0,332.5912025183733,541.7489067095829,2145.7657408802693
70000.0,643.1133565645249,1047.5501311250548,4149.149459064363
80000.0,1362.277274236838,2218.976985455133,8788.951368837485
