alt,pr_endurance,pr_range,v_endurance,v_range
-1000.0,156.27493563685093,173.66597891954714,6.867099501963375,8.214570257043329
0.0,163.87212378816292,182.10861952571264,7.2009383658707,8.613915395600616
1000.0,171.99694495384395,191.13761074259676,7.557962703478125,9.04099549017505
2000.0,180.74171185658477,200.85553830659714,7.942228959598322,9.500662946196016
3000.0,190.2039496747699,211.37078047750595,8.35802262698279,9.998044161101504
4000.0,200.3665160373396,222.66428719691854,8.804590428291908,10.532238048540925
5000.0,211.35680567942606,234.87763031252578,9.287530397008224,11.10994109504844
6000.0,223.23807052205166,248.08110073014794,9.809621975872068,11.734478129055523
7000.0,236.12779996162325,262.4052626439504,10.376027933770617,12.412024964343884
8000.0,250.12830245042252,277.9638098938622,10.991243952105673,13.147959430478654
9000.0,265.3800019379095,294.9127934969411,11.661440599621807,13.949662892833052
10000.0,282.05601752954243,313.4445981039726,12.394225149475314,14.826235333108084
15000.0,410.94022113617314,456.6716696455315,18.05770948745469,21.601015570484094
20000.0,608.2719943737211,675.9634929412676,26.728945960525888,31.973732785825796
25000.0,905.960515326912,1006.7802563190097,39.81010120558885,47.62168848723041
30000.0,1336.7378098491965,1485.4965664211752,58.73949978518773,70.2654370613166
