Envergadura_m,Potencia_W,Peso_Total_kg
10.0,914.8691292717376,37.3610817790843
10.06030150753769,909.3547591668781,37.43029316048804
10.120603015075377,903.9698532381807,37.49983722283418
10.180904522613066,898.7115659431025,37.56971356872962
10.241206030150753,893.5771349544117,37.63992180361251
10.301507537688442,888.5638782514893,37.71046153571552
10.361809045226131,883.6691913296632,37.78133237602974
10.422110552763819,878.8905445221053,37.85253393826932
10.482412060301508,874.2254804291449,37.924065838836675
10.542713567839195,869.6716114500949,37.99592769678843
10.603015075376884,865.2266174129454,38.0681191338019
10.663316582914574,860.8882432975131,38.14063977414228
10.72361809045226,856.654297047855,38.21348924463031
10.78391959798995,852.5226474699703,38.28666717461065
10.844221105527637,848.4912222110092,38.36017319592071
10.904522613065327,844.5580058163921,38.43400694286012
10.964824120603016,840.7210378614316,38.5081680521607
11.025125628140703,836.9784111541978,38.58265616295694
11.085427135678392,833.3282700065483,38.65747091675708
11.14572864321608,829.7688085703735,38.732611957414576
11.206030150753769,826.2982692362694,38.8080789311002
11.266331658291458,822.914941091964,38.883871486274444
11.326633165829145,819.6171584379688,38.95998927366061
11.386934673366834,816.4032993580356,39.03643194621817
11.447236180904522,813.2717843421203,39.11319915911672
11.507537688442211,810.2210749596543,39.19029056971022
11.5678391959799,807.249672581041,39.267705837511876
11.628140703517587,804.3561171453757,39.34544462416923
11.688442211055277,801.5389859724934,39.42350659343981
11.748743718592966,798.7968926175282,39.50189141116711
11.809045226130653,796.1284857662548,39.58059874525699
11.869346733668342,793.5324481695546,39.659628265654476
11.92964824120603,791.0074956154442,39.738979644320885
11.989949748743719,788.5523759371404,39.8186525552114
12.050251256281406,786.165868055742,39.89864667425294
12.110552763819095,783.8467810561406,39.9789616793224
12.170854271356784,781.5939532948589,40.05959725022528
12.231155778894472,779.4062515385524,40.14055306867459
12.291457286432161,777.2825701319791,40.22182881827012
12.35175879396985,775.2218301942956,40.30342418447806
12.412060301507537,773.2229788425676,40.38533885461089
12.472361809045227,771.2849884414653,40.46757251780764
12.532663316582914,769.406855878122,40.55012486501437
12.592964824120603,767.587601861203,40.632995588965045
12.65326633165829,765.8262702432703,40.716184384162666
12.71356783919598,764.1219273655473,40.799690946860665
12.773869346733669,762.4736614242574,40.883514975044626
12.834170854271356,760.8805818577125,40.96765616841422
12.894472361809045,759.3418187533931,41.05211422836553
12.954773869346734,757.8565222742639,41.13688885797348
13.015075376884422,756.4238621036245,41.22197976197466
13.075376884422111,755.04302690781,41.307386646750345
